"Positionsinhaber","Emittent","ISIN","Position","Datum"
"Gladstone Capital Management LLP","Dürr Aktiengesellschaft","DE0005565204","0,91","2019-07-23"
"Sandbar Asset Management","Dürr Aktiengesellschaft","DE0005565204","0,32","2019-07-23"
"Marshall Wace LLP","HOCHTIEF Aktiengesellschaft","DE0006070006","0,53","2019-07-23"
"Millennium International Management LP","MorphoSys AG","DE0006632003","0,50","2019-07-23"
"Marshall Wace LLP","Daimler AG","DE0007100000","0,58","2019-07-23"
"Marshall Wace LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,58","2019-07-23"
"AQR Capital Management, LLC","thyssenkrupp AG","DE0007500001","3,49","2019-07-23"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","1,01","2019-07-23"
"Citadel Advisors LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,57","2019-07-23"
"Citadel Europe LLP","Nordex SE","DE000A0D6554","0,87","2019-07-23"
"Engadine Partners LLP","HelloFresh SE","DE000A161408","1,12","2019-07-23"
"Jericho Capital Asset Management LP","HelloFresh SE","DE000A161408","1,09","2019-07-23"
"TT International","CYAN AG","DE000A2E4SV8","0,60","2019-07-23"
"Marshall Wace LLP","Klöckner & Co SE","DE000KC01000","1,90","2019-07-23"
"BlackRock Investment Management (UK) Limited","K+S Aktiengesellschaft","DE000KSAG888","1,12","2019-07-23"
"WorldQuant, LLC","TUI AG","DE000TUAG000","0,69","2019-07-23"
"Squarepoint Ops LLC","Francesca`s Holdings Corp","US3517932030","1,40","2019-07-23"
"Citadel Advisors II LLC","LEONI AG","DE0005408884","0,51","2019-07-22"
"Merian Global Investors (UK) Limited","LEONI AG","DE0005408884","0,89","2019-07-22"
"Squarepoint Ops LLC","LEONI AG","DE0005408884","0,72","2019-07-22"
"TT International","LEONI AG","DE0005408884","0,84","2019-07-22"
"JPMorgan Asset Management (UK) Ltd","Drägerwerk AG & Co. KGaA","DE0005550602","0,46","2019-07-22"
"WorldQuant, LLC","Aurubis AG","DE0006766504","0,48","2019-07-22"
"AQR Capital Management, LLC","thyssenkrupp AG","DE0007500001","3,51","2019-07-22"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,94","2019-07-22"
"Citadel Advisors LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,60","2019-07-22"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,45","2019-07-22"
"Marshall Wace LLP","SMA Solar Technology AG","DE000A0DJ6J9","0,49","2019-07-22"
"Kairos Investment Management Limited","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","4,25","2019-07-22"
"Engadine Partners LLP","HelloFresh SE","DE000A161408","1,25","2019-07-22"
"Marshall Wace LLP","Klöckner & Co SE","DE000KC01000","1,82","2019-07-22"
"BlackRock Investment Management (UK) Limited","K+S Aktiengesellschaft","DE000KSAG888","1,05","2019-07-22"
"Citadel Europe LLP","K+S Aktiengesellschaft","DE000KSAG888","1,98","2019-07-22"
"D. E. Shaw & Co., L.P.","TUI AG","DE000TUAG000","0,60","2019-07-22"
"Squarepoint Ops LLC","Francesca`s Holdings Corp","US3517932030","1,71","2019-07-22"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,71","2019-07-19"
"BlackRock Investment Management (UK) Limited","Bilfinger SE","DE0005909006","3,00","2019-07-19"
"Marshall Wace LLP","Aurubis AG","DE0006766504","0,50","2019-07-19"
"BODENHOLM CAPITAL AB","Koenig & Bauer AG","DE0007193500","1,99","2019-07-19"
"WorldQuant, LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,52","2019-07-19"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,42","2019-07-19"
"Citadel Advisors LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,58","2019-07-19"
"Citadel Europe LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,19","2019-07-19"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,86","2019-07-19"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,49","2019-07-19"
"Voleon Capital Management LP","AIXTRON SE","DE000A0WMPJ6","1,29","2019-07-19"
"Odey Asset Management LLP","GRENKE AG","DE000A161N30","0,91","2019-07-19"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,70","2019-07-19"
"AQR Capital Management, LLC","OSRAM Licht AG","DE000LED4000","2,89","2019-07-19"
"D. E. Shaw & Co., L.P.","TUI AG","DE000TUAG000","0,59","2019-07-19"
"Marshall Wace LLP","TUI AG","DE000TUAG000","1,42","2019-07-19"
"Portsea Asset Management LLP","CORESTATE CAPITAL HOLD ORD","LU1296758029","2,01","2019-07-19"
"Squarepoint Ops LLC","Cassava Sciences Inc","US14817C1071","0,73","2019-07-19"
"Squarepoint Ops LLC","Francesca`s Holdings Corp","US3517932030","2,10","2019-07-19"
"JPMorgan Asset Management (UK) Ltd","zooplus AG","DE0005111702","0,95","2019-07-18"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,69","2019-07-18"
"Lansdowne Partners (UK) LLP","Bechtle Aktiengesellschaft","DE0005158703","0,53","2019-07-18"
"Squarepoint Ops LLC","LEONI AG","DE0005408884","0,62","2019-07-18"
"BODENHOLM CAPITAL AB","CANCOM SE","DE0005419105","0,56","2019-07-18"
"JPMorgan Asset Management (UK) Ltd","Drägerwerk AG & Co. KGaA","DE0005550602","0,57","2019-07-18"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","1,16","2019-07-18"
"AQR Capital Management, LLC","Infineon Technologies AG","DE0006231004","0,49","2019-07-18"
"Marshall Wace LLP","MERCK Kommanditgesellschaft auf Aktien","DE0006599905","0,58","2019-07-18"
"Canada Pension Plan Investment Board","Aurubis AG","DE0006766504","0,70","2019-07-18"
"BODENHOLM CAPITAL AB","Koenig & Bauer AG","DE0007193500","1,65","2019-07-18"
"Marshall Wace LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,67","2019-07-18"
"BlackRock Investment Management (UK) Limited","thyssenkrupp AG","DE0007500001","0,55","2019-07-18"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,80","2019-07-18"
"SFM UK Management LLP","Gerresheimer AG","DE000A0LD6E6","0,88","2019-07-18"
"Millennium International Management LP","Knorr-Bremse Aktiengesellschaft","DE000KBX1006","0,50","2019-07-18"
"Canada Pension Plan Investment Board","Klöckner & Co SE","DE000KC01000","1,76","2019-07-18"
"Marshall Wace LLP","Klöckner & Co SE","DE000KC01000","1,61","2019-07-18"
"GSA Capital Partners LLP","Schaeffler AG","DE000SHA0159","0,48","2019-07-18"
"AQR Capital Management, LLC","Wacker Chemie AG","DE000WCH8881","0,40","2019-07-18"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","0,86","2019-07-18"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,75","2019-07-17"
"GSA Capital Partners LLP","LEONI AG","DE0005408884","0,81","2019-07-17"
"Renaissance Technologies LLC","LANXESS Deutschland GmbH","DE0005470405","0,49","2019-07-17"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","1,22","2019-07-17"
"BlackRock Investment Management (UK) Limited","CECONOMY AG","DE0007257503","0,79","2019-07-17"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,73","2019-07-17"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,58","2019-07-17"
"AQR Capital Management, LLC","Delivery Hero SE","DE000A2E4K43","1,50","2019-07-17"
"Canada Pension Plan Investment Board","Klöckner & Co SE","DE000KC01000","1,64","2019-07-17"
"Marshall Wace LLP","Dialog Semiconductor GmbH","GB0059822006","1,37","2019-07-17"
"Portsea Asset Management LLP","CORESTATE CAPITAL HOLD ORD","LU1296758029","1,80","2019-07-17"
"Capital Fund Management SA","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,52","2019-07-16"
"Sandbar Asset Management","Dürr Aktiengesellschaft","DE0005565204","0,20","2019-07-16"
"LMR Partners LLP","ENCAVIS AG","DE0006095003","0,50","2019-07-16"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","0,81","2019-07-16"
"AHL Partners LLP","MorphoSys AG","DE0006632003","0,68","2019-07-16"
"Millennium International Management LP","MorphoSys AG","DE0006632003","0,49","2019-07-16"
"WorldQuant, LLC","Aurubis AG","DE0006766504","0,59","2019-07-16"
"AHL Partners LLP","CECONOMY AG","DE0007257503","0,49","2019-07-16"
"Voleon Capital Management LP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,49","2019-07-16"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,68","2019-07-16"
"Citadel Europe LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,24","2019-07-16"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,93","2019-07-16"
"BODENHOLM CAPITAL AB","Gerresheimer AG","DE000A0LD6E6","0,91","2019-07-16"
"SFM UK Management LLP","Gerresheimer AG","DE000A0LD6E6","0,97","2019-07-16"
"AHL Partners LLP","AIXTRON SE","DE000A0WMPJ6","1,25","2019-07-16"
"Canada Pension Plan Investment Board","Klöckner & Co SE","DE000KC01000","1,53","2019-07-16"
"Marshall Wace LLP","Klöckner & Co SE","DE000KC01000","1,51","2019-07-16"
"Citadel Europe LLP","K+S Aktiengesellschaft","DE000KSAG888","2,00","2019-07-16"
"AQR Capital Management, LLC","OSRAM Licht AG","DE000LED4000","2,96","2019-07-16"
"BlackRock Investment Management (UK) Limited","ProSiebenSat.1 Media SE","DE000PSM7770","0,51","2019-07-16"
"GSA Capital Partners LLP","Schaeffler AG","DE000SHA0159","0,50","2019-07-16"
"Millennium International Management LP","Aroundtown SA","LU1673108939","0,42","2019-07-16"
"Squarepoint Ops LLC","Francesca`s Holdings Corp","US3517932030","2,03","2019-07-16"
"Canada Pension Plan Investment Board","Talend SA","US8742242071","0,52","2019-07-16"
"Connor, Clark & Lunn Investment Management Ltd","zooplus AG","DE0005111702","0,60","2019-07-15"
"Connor, Clark & Lunn Investment Management Ltd","LEONI AG","DE0005408884","1,64","2019-07-15"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","3,00","2019-07-15"
"Canada Pension Plan Investment Board","Aurubis AG","DE0006766504","0,60","2019-07-15"
"AHL Partners LLP","CECONOMY AG","DE0007257503","0,50","2019-07-15"
"Marshall Wace LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,78","2019-07-15"
"AQR Capital Management, LLC","thyssenkrupp AG","DE0007500001","3,42","2019-07-15"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,65","2019-07-15"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,76","2019-07-15"
"Kairos Investment Management Limited","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","4,13","2019-07-15"
"Zimmer Partners, LP","alstria office REIT-AG","DE000A0LD2U1","0,63","2019-07-15"
"SFM UK Management LLP","Gerresheimer AG","DE000A0LD6E6","1,08","2019-07-15"
"AHL Partners LLP","AIXTRON SE","DE000A0WMPJ6","1,30","2019-07-15"
"HBK Investments L.P.","AIXTRON SE","DE000A0WMPJ6","0,75","2019-07-15"
"JPMorgan Asset Management (UK) Ltd","Klöckner & Co SE","DE000KC01000","0,72","2019-07-15"
"Portsea Asset Management LLP","CORESTATE CAPITAL HOLD ORD","LU1296758029","1,71","2019-07-15"
"Canada Pension Plan Investment Board","Talend SA","US8742242071","0,17","2019-07-15"
"Connor, Clark & Lunn Investment Management Ltd","zooplus AG","DE0005111702","0,59","2019-07-12"
"Citadel Advisors II LLC","LEONI AG","DE0005408884","0,49","2019-07-12"
"TT International","LEONI AG","DE0005408884","0,58","2019-07-12"
"BODENHOLM CAPITAL AB","CANCOM SE","DE0005419105","0,79","2019-07-12"
"Renaissance Technologies LLC","LANXESS Deutschland GmbH","DE0005470405","0,51","2019-07-12"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","1,30","2019-07-12"
"Citadel Europe LLP","HeidelbergCement AG","DE0006047004","0,58","2019-07-12"
"WorldQuant, LLC","Aurubis AG","DE0006766504","0,67","2019-07-12"
"Arrowstreet Capital, Limited Partnership","thyssenkrupp AG","DE0007500001","1,00","2019-07-12"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,84","2019-07-12"
"Citadel Advisors LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,62","2019-07-12"
"Connor, Clark & Lunn Investment Management Ltd","TOM TAILOR Holding SE","DE000A0STST2","0,00","2019-07-12"
"HBK Investments L.P.","AIXTRON SE","DE000A0WMPJ6","0,84","2019-07-12"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","0,59","2019-07-12"
"Millennium International Management LP","K+S Aktiengesellschaft","DE000KSAG888","0,50","2019-07-12"
"AQR Capital Management, LLC","OSRAM Licht AG","DE000LED4000","3,08","2019-07-12"
"Marshall Wace LLP","TUI AG","DE000TUAG000","1,50","2019-07-12"
"Park West Asset Management LLC","TUI AG","DE000TUAG000","0,30","2019-07-12"
"Marshall Wace LLP","Dialog Semiconductor GmbH","GB0059822006","1,48","2019-07-12"
"Squarepoint Ops LLC","Francesca`s Holdings Corp","US3517932030","1,91","2019-07-12"
"WorldQuant, LLC","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,51","2019-07-11"
"Marshall Wace LLP","Bayerische Motoren Werke Aktiengesellschaft","DE0005190003","0,49","2019-07-11"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","1,47","2019-07-11"
"Canada Pension Plan Investment Board","Evotec SE","DE0005664809","0,50","2019-07-11"
"Wellington Management Company, LLP","Evotec SE","DE0005664809","1,00","2019-07-11"
"Citadel Europe LLP","HeidelbergCement AG","DE0006047004","0,60","2019-07-11"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,54","2019-07-11"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,00","2019-07-11"
"Citadel Europe LLP","Nordex SE","DE000A0D6554","0,92","2019-07-11"
"Kuvari Partners LLP","Nordex Energy GmbH","DE000A0D6554","0,48","2019-07-11"
"Tower House Partners LLP","Gerresheimer Group GmbH","DE000A0LD6E6","0,72","2019-07-11"
"Voleon Capital Management LP","AIXTRON SE","DE000A0WMPJ6","1,31","2019-07-11"
"Canada Pension Plan Investment Board","Klöckner & Co SE","DE000KC01000","1,40","2019-07-11"
"JPMorgan Asset Management (UK) Ltd","Klöckner & Co SE","DE000KC01000","0,60","2019-07-11"
"Marshall Wace LLP","Tele Columbus AG","DE000TCAG172","0,59","2019-07-11"
"Canada Pension Plan Investment Board","Siltronic AG","DE000WAF3001","0,69","2019-07-11"
"Maple Rock Capital Partners","Siltronic AG","DE000WAF3001","0,85","2019-07-11"
"Marshall Wace LLP","Bayerische Motoren Werke Aktiengesellschaft","DE0005190003","0,50","2019-07-10"
"Citadel Advisors II LLC","LEONI AG","DE0005408884","0,68","2019-07-10"
"GSA Capital Partners LLP","LEONI AG","DE0005408884","0,73","2019-07-10"
"Marshall Wace LLP","LEONI AG","DE0005408884","2,53","2019-07-10"
"Merian Global Investors (UK) Limited","LEONI AG","DE0005408884","0,99","2019-07-10"
"Citadel Advisors LLC","LANXESS Aktiengesellschaft","DE0005470405","1,33","2019-07-10"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","2,93","2019-07-10"
"Marshall Wace LLP","1&1 Drillisch Aktiengesellschaft","DE0005545503","0,47","2019-07-10"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,10","2019-07-10"
"AQR Capital Management, LLC","GEA Group Aktiengesellschaft","DE0006602006","1,59","2019-07-10"
"Millennium International Management LP","Deutsche EuroShop AG","DE0007480204","0,48","2019-07-10"
"AQR Capital Management, LLC","thyssenkrupp AG","DE0007500001","3,30","2019-07-10"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,99","2019-07-10"
"Zimmer Partners, LP","alstria office REIT-AG","DE000A0LD2U1","0,56","2019-07-10"
"Engadine Partners LLP","HelloFresh SE","DE000A161408","1,36","2019-07-10"
"Marshall Wace LLP","BASF SE","DE000BASF111","0,60","2019-07-10"
"Citadel Europe LLP","K+S Aktiengesellschaft","DE000KSAG888","1,99","2019-07-10"
"AQR Capital Management, LLC","OSRAM Licht AG","DE000LED4000","3,19","2019-07-10"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","0,98","2019-07-10"
"Squarepoint Ops LLC","Francesca`s Holdings Corp","US3517932030","1,82","2019-07-10"
"UBS Asset Management (UK) Ltd","zooplus AG","DE0005111702","0,54","2019-07-09"
"AQR Capital Management, LLC","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","2,34","2019-07-09"
"Caxton Associates LP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,64","2019-07-09"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,82","2019-07-09"
"Canada Pension Plan Investment Board","LEONI AG","DE0005408884","0,68","2019-07-09"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","2,80","2019-07-09"
"Lansdowne Partners (UK) LLP","Ströer SE & Co. KGaA","DE0007493991","0,70","2019-07-09"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,95","2019-07-09"
"Citadel Europe LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,11","2019-07-09"
"Citadel Europe LLP","MTU Aero Engines AG","DE000A0D9PT0","1,59","2019-07-09"
"Tower House Partners LLP","Gerresheimer Group GmbH","DE000A0LD6E6","0,64","2019-07-09"
"Voleon Capital Management LP","AIXTRON SE","DE000A0WMPJ6","1,26","2019-07-09"
"BlackRock Investment Management (UK) Limited","GRENKE AG","DE000A161N30","1,11","2019-07-09"
"Kintbury Capital LLP","ProSiebenSat.1 Entertainment GmbH","DE000PSM7770","0,60","2019-07-09"
"D. E. Shaw & Co., L.P.","TUI AG","DE000TUAG000","0,60","2019-07-09"
"Marshall Wace LLP","Dialog Semiconductor GmbH","GB0059822006","1,56","2019-07-09"
"Squarepoint Ops LLC","Blue Apron Holdings Inc","US09523Q2003","0,49","2019-07-09"
"AQR Capital Management, LLC","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","2,40","2019-07-08"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,73","2019-07-08"
"D. E. Shaw & Co., L.P.","LEONI AG","DE0005408884","0,49","2019-07-08"
"Marshall Wace LLP","LEONI AG","DE0005408884","2,89","2019-07-08"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","2,74","2019-07-08"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","1,59","2019-07-08"
"AQR Capital Management, LLC","Infineon Technologies AG","DE0006231004","0,58","2019-07-08"
"AQR Capital Management, LLC","RWE Aktiengesellschaft","DE0007037129","1,10","2019-07-08"
"BODENHOLM CAPITAL AB","Koenig & Bauer AG","DE0007193500","1,32","2019-07-08"
"Citadel Advisors LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,50","2019-07-08"
"Tower House Partners LLP","freenet AG","DE000A0Z2ZZ5","0,66","2019-07-08"
"Engadine Partners LLP","HelloFresh SE","DE000A161408","1,44","2019-07-08"
"Marshall Wace LLP","HUGO BOSS AG","DE000A1PHFF7","0,46","2019-07-08"
"AQR Capital Management, LLC","OSRAM Licht AG","DE000LED4000","3,29","2019-07-08"
"WorldQuant, LLC","OSRAM Licht AG","DE000LED4000","0,41","2019-07-08"
"Squarepoint Ops LLC","Blue Apron Holdings Inc","US09523Q2003","0,56","2019-07-08"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,81","2019-07-05"
"Citadel Advisors II LLC","LEONI AG","DE0005408884","0,59","2019-07-05"
"Marshall Wace LLP","LEONI AG","DE0005408884","2,97","2019-07-05"
"Marshall Wace LLP","CECONOMY AG","DE0007257503","0,78","2019-07-05"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,49","2019-07-05"
"Citadel Europe LLP","Nordex SE","DE000A0D6554","0,82","2019-07-05"
"Marshall Wace LLP","freenet AG","DE000A0Z2ZZ5","0,47","2019-07-05"
"Marshall Wace LLP","METRO AG","DE000BFB0019","0,89","2019-07-05"
"Capital Fund Management SA","E.ON SE","DE000ENAG999","0,49","2019-07-05"
"AHL Partners LLP","OSRAM Licht AG","DE000LED4000","0,15","2019-07-05"
"WorldQuant, LLC","OSRAM Licht AG","DE000LED4000","0,52","2019-07-05"
"Marshall Wace LLP","TUI AG","DE000TUAG000","1,40","2019-07-05"
"Maple Rock Capital Partners","Siltronic AG","DE000WAF3001","0,70","2019-07-05"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","1,06","2019-07-05"
"Squarepoint Ops LLC","Blue Apron Holdings Inc","US09523Q2003","0,67","2019-07-05"
"Squarepoint Ops LLC","Francesca`s Holdings Corp","US3517932030","1,71","2019-07-05"
"Gladstone Capital Management LLP","Dürr Aktiengesellschaft","DE0005565204","0,72","2019-07-04"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,01","2019-07-04"
"AHL Partners LLP","Aurubis AG","DE0006766504","1,07","2019-07-04"
"Marshall Wace LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,89","2019-07-04"
"Citadel Advisors LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,49","2019-07-04"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,50","2019-07-04"
"BNP PARIBAS SA","MTU Aero Engines AG","DE000A0D9PT0","0,60","2019-07-04"
"Marshall Wace LLP","HUGO BOSS AG","DE000A1PHFF7","0,57","2019-07-04"
"Capital Fund Management SA","E.ON SE","DE000ENAG999","0,50","2019-07-04"
"WorldQuant, LLC","OSRAM Licht AG","DE000LED4000","0,62","2019-07-04"
"AHL Partners LLP","Aareal Bank AG","DE0005408116","1,02","2019-07-03"
"Citadel Advisors II LLC","LEONI AG","DE0005408884","0,76","2019-07-03"
"D. E. Shaw & Co., L.P.","LEONI AG","DE0005408884","0,56","2019-07-03"
"Marshall Wace LLP","LEONI AG","DE0005408884","3,09","2019-07-03"
"Marshall Wace LLP","MERCK Kommanditgesellschaft auf Aktien","DE0006599905","0,61","2019-07-03"
"Marshall Wace LLP","Deutsche EuroShop AG","DE0007480204","0,89","2019-07-03"
"Citadel Europe LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,07","2019-07-03"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,48","2019-07-03"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","0,61","2019-07-03"
"Marshall Wace LLP","BASF SE","DE000BASF111","0,50","2019-07-03"
"Millennium International Management LP","K+S Aktiengesellschaft","DE000KSAG888","0,49","2019-07-03"
"AQR Capital Management, LLC","OSRAM Licht AG","DE000LED4000","3,38","2019-07-03"
"Davidson Kempner European Partners, LLP","OSRAM Licht AG","DE000LED4000","0,00","2019-07-03"
"BlackRock Investment Management (UK) Limited","Siltronic AG","DE000WAF3001","1,20","2019-07-03"
"Polar Capital LLP","Siltronic AG","DE000WAF3001","1,41","2019-07-03"
"Squarepoint Ops LLC","Francesca`s Holdings Corp","US3517932030","1,67","2019-07-03"
"AQR Capital Management, LLC","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","2,39","2019-07-02"
"Connor, Clark & Lunn Investment Management Ltd","LEONI AG","DE0005408884","1,70","2019-07-02"
"Marshall Wace LLP","LEONI AG","DE0005408884","3,18","2019-07-02"
"Systematica Investments Limited","LEONI AG","DE0005408884","0,51","2019-07-02"
"Wellington Management Company, LLP","Evotec SE","DE0005664809","0,99","2019-07-02"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","0,79","2019-07-02"
"Millennium International Management LP","MorphoSys AG","DE0006632003","0,58","2019-07-02"
"AQR Capital Management, LLC","RWE Aktiengesellschaft","DE0007037129","1,02","2019-07-02"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,53","2019-07-02"
"Citadel Europe LLP","TAG Immobilien AG","DE0008303504","0,60","2019-07-02"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,45","2019-07-02"
"Tower House Partners LLP","Gerresheimer Group GmbH","DE000A0LD6E6","0,86","2019-07-02"
"Voleon Capital Management LP","AIXTRON SE","DE000A0WMPJ6","1,13","2019-07-02"
"Citadel Advisors II LLC","Klöckner & Co SE","DE000KC01000","0,49","2019-07-02"
"Marshall Wace LLP","Klöckner & Co SE","DE000KC01000","1,40","2019-07-02"
"Tower House Partners LLP","ProSiebenSat.1 Media SE","DE000PSM7770","0,32","2019-07-02"
"Marshall Wace LLP","Wacker Chemie AG","DE000WCH8881","0,69","2019-07-02"
"GLG Partners LP","CORESTATE CAPITAL HOLDING S.A.","LU1296758029","1,00","2019-07-02"
"Millennium International Management LP","Aroundtown SA","LU1673108939","0,70","2019-07-02"
"Highbridge Capital Management, LLC","SHOP APOTHEKE EUROPE NV","NL0012044747","1,35","2019-07-02"
"Marshall Wace LLP","LEONI AG","DE0005408884","3,26","2019-07-01"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","1,60","2019-07-01"
"Rye Bay Capital LLP","Dürr Aktiengesellschaft","DE0005565204","0,37","2019-07-01"
"AHL Partners LLP","Aurubis AG","DE0006766504","1,11","2019-07-01"
"WorldQuant, LLC","Aurubis AG","DE0006766504","0,78","2019-07-01"
"Voleon Capital Management LP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,59","2019-07-01"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,86","2019-07-01"
"Citadel Advisors LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,50","2019-07-01"
"Citadel Europe LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,11","2019-07-01"
"Voleon Capital Management LP","AIXTRON SE","DE000A0WMPJ6","1,06","2019-07-01"
"GLG Partners LP","Software Aktiengesellschaft","DE000A2GS401","0,93","2019-07-01"
"AQR Capital Management, LLC","COMMERZBANK Aktiengesellschaft","DE000CBK1001","0,49","2019-07-01"
"AQR Capital Management, LLC","OSRAM Licht AG","DE000LED4000","3,47","2019-07-01"
"Marshall Wace LLP","TUI AG","DE000TUAG000","1,32","2019-07-01"
"Marshall Wace LLP","Wacker Chemie AG","DE000WCH8881","0,70","2019-07-01"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","1,16","2019-07-01"
"Portsea Asset Management LLP","CORESTATE CAPITAL HOLD ORD","LU1296758029","1,63","2019-07-01"
"Citadel Advisors II LLC","LEONI AG","DE0005408884","0,87","2019-06-28"
"GSA Capital Partners LLP","LEONI AG","DE0005408884","0,80","2019-06-28"
"Marshall Wace LLP","MERCK Kommanditgesellschaft auf Aktien","DE0006599905","0,50","2019-06-28"
"Millennium International Management LP","MorphoSys AG","DE0006632003","0,60","2019-06-28"
"AHL Partners LLP","Aurubis AG","DE0006766504","1,09","2019-06-28"
"Marshall Wace LLP","CECONOMY AG","DE0007257503","0,80","2019-06-28"
"Marshall Wace LLP","SMA Solar Technology AG","DE000A0DJ6J9","0,59","2019-06-28"
